# A2,A3,p2,p3,max
0.50000,1.50000,0.40000,0.20000,2.97837
0.50000,1.50000,0.40000,0.40000,2.39684
0.50000,1.50000,0.40000,0.60000,2.66579
0.50000,1.50000,0.40000,0.80000,2.87378
0.50000,1.50000,0.60000,0.00000,2.37282
0.50000,1.50000,0.60000,0.20000,2.87378
0.50000,1.50000,0.60000,0.40000,2.66579
0.50000,1.50000,0.60000,0.60000,2.39684
0.50000,1.50000,0.60000,0.80000,2.97837
0.50000,1.50000,0.80000,0.00000,2.51541
0.50000,1.50000,0.80000,0.20000,2.62919
0.50000,1.50000,0.80000,0.40000,2.80935
0.50000,1.50000,0.80000,0.60000,2.60449
0.50000,1.50000,0.80000,0.80000,2.91379
0.50000,1.75000,0.00000,0.00000,2.73490
0.50000,1.75000,0.00000,0.20000,2.94569
0.50000,1.75000,0.00000,0.40000,3.03665
0.50000,1.75000,0.00000,0.60000,3.03665
0.50000,1.75000,0.00000,0.80000,2.94569
0.50000,1.75000,0.20000,0.00000,2.76317
0.50000,1.75000,0.20000,0.20000,3.16347
0.50000,1.75000,0.20000,0.40000,2.85429
0.50000,1.75000,0.20000,0.60000,3.05633
0.50000,1.75000,0.20000,0.80000,2.87304
0.50000,1.75000,0.40000,0.00000,2.62267
0.50000,1.75000,0.40000,0.20000,3.22802
0.50000,1.75000,0.40000,0.40000,2.63497
0.50000,1.75000,0.40000,0.60000,2.90784
0.50000,1.75000,0.40000,0.80000,3.12081
0.50000,1.75000,0.60000,0.00000,2.62267
0.50000,1.75000,0.60000,0.20000,3.12081
0.50000,1.75000,0.60000,0.40000,2.90784
0.50000,1.75000,0.60000,0.60000,2.63497
0.50000,1.75000,0.60000,0.80000,3.22802
0.50000,1.75000,0.80000,0.00000,2.76317
0.50000,1.75000,0.80000,0.20000,2.87304
0.50000,1.75000,0.80000,0.40000,3.05633
0.50000,1.75000,0.80000,0.60000,2.85429
0.50000,1.75000,0.80000,0.80000,3.16347
0.75000,0.50000,0.00000,0.00000,1.81955
0.75000,0.50000,0.00000,0.20000,1.88134
0.75000,0.50000,0.00000,0.40000,2.02326
0.75000,0.50000,0.00000,0.60000,2.02326
0.75000,0.50000,0.00000,0.80000,1.88134
0.75000,0.50000,0.20000,0.00000,1.77751
0.75000,0.50000,0.20000,0.20000,2.14576
0.75000,0.50000,0.20000,0.40000,1.77718
0.75000,0.50000,0.20000,0.60000,2.08975
0.75000,0.50000,0.20000,0.80000,1.85403
0.75000,0.50000,0.40000,0.00000,1.55867
0.75000,0.50000,0.40000,0.20000,2.23190
0.75000,0.50000,0.40000,0.40000,1.69491
0.75000,0.50000,0.40000,0.60000,1.97291
0.75000,0.50000,0.40000,0.80000,2.12931
0.75000,0.50000,0.60000,0.00000,1.55867
0.75000,0.50000,0.60000,0.20000,2.12931
0.75000,0.50000,0.60000,0.40000,1.97291
0.75000,0.50000,0.60000,0.60000,1.69491
0.75000,0.50000,0.60000,0.80000,2.23190
0.75000,0.50000,0.80000,0.00000,1.77751
0.75000,0.50000,0.80000,0.20000,1.85403
0.75000,0.50000,0.80000,0.40000,2.08975
0.75000,0.50000,0.80000,0.60000,1.77718
0.75000,0.50000,0.80000,0.80000,2.14576
0.75000,0.75000,0.00000,0.00000,2.03142
0.75000,0.75000,0.00000,0.20000,2.10759
0.75000,0.75000,0.00000,0.40000,2.27305
0.75000,0.75000,0.00000,0.60000,2.27305
0.75000,0.75000,0.00000,0.80000,2.10759
0.75000,0.75000,0.20000,0.00000,2.02053
0.75000,0.75000,0.20000,0.20000,2.39185
0.75000,0.75000,0.20000,0.40000,2.02070
0.75000,0.75000,0.20000,0.60000,2.32528
0.75000,0.75000,0.20000,0.80000,2.04832
0.75000,0.75000,0.40000,0.00000,1.80836
0.75000,0.75000,0.40000,0.20000,2.48025
0.75000,0.75000,0.40000,0.40000,1.83922
0.75000,0.75000,0.40000,0.60000,2.17135
0.75000,0.75000,0.40000,0.80000,2.35860
0.75000,0.75000,0.60000,0.00000,1.80836
0.75000,0.75000,0.60000,0.20000,2.35860
0.75000,0.75000,0.60000,0.40000,2.17135
0.75000,0.75000,0.60000,0.60000,1.83922
0.75000,0.75000,0.60000,0.80000,2.48025
0.75000,0.75000,0.80000,0.00000,2.02053
0.75000,0.75000,0.80000,0.20000,2.04832
0.75000,0.75000,0.80000,0.40000,2.32528
0.75000,0.75000,0.80000,0.60000,2.02070
0.75000,0.75000,0.80000,0.80000,2.39185
0.75000,1.00000,0.00000,0.00000,2.25713
0.75000,1.00000,0.00000,0.20000,2.34297
0.75000,1.00000,0.00000,0.40000,2.52292
0.75000,1.00000,0.00000,0.60000,2.52292
0.75000,1.00000,0.00000,0.80000,2.34297
0.75000,1.00000,0.20000,0.00000,2.26607
0.75000,1.00000,0.20000,0.20000,2.63933
0.75000,1.00000,0.20000,0.40000,2.26669
0.75000,1.00000,0.20000,0.60000,2.56590
0.75000,1.00000,0.20000,0.80000,2.26464
0.75000,1.00000,0.40000,0.00000,2.05817
0.75000,1.00000,0.40000,0.20000,2.72917
0.75000,1.00000,0.40000,0.40000,2.02762
0.75000,1.00000,0.40000,0.60000,2.38881
0.75000,1.00000,0.40000,0.80000,2.59531
0.75000,1.00000,0.60000,0.00000,2.05817
0.75000,1.00000,0.60000,0.20000,2.59531
0.75000,1.00000,0.60000,0.40000,2.38881
0.75000,1.00000,0.60000,0.60000,2.02762
0.75000,1.00000,0.60000,0.80000,2.72917
0.75000,1.00000,0.80000,0.00000,2.26607
0.75000,1.00000,0.80000,0.20000,2.26464
0.75000,1.00000,0.80000,0.40000,2.56590
0.75000,1.00000,0.80000,0.60000,2.26669
0.75000,1.00000,0.80000,0.80000,2.63933
0.75000,1.25000,0.00000,0.00000,2.49036
0.75000,1.25000,0.00000,0.20000,2.58312
0.75000,1.25000,0.00000,0.40000,2.77283
0.75000,1.25000,0.00000,0.60000,2.77283
0.75000,1.25000,0.00000,0.80000,2.58312
0.75000,1.25000,0.20000,0.00000,2.51298
0.75000,1.25000,0.20000,0.20000,2.88756
0.75000,1.25000,0.20000,0.40000,2.51397
0.75000,1.25000,0.20000,0.60000,2.80934
0.75000,1.25000,0.20000,0.80000,2.49228
0.75000,1.25000,0.40000,0.00000,2.30804
0.75000,1.25000,0.40000,0.20000,2.97841
0.75000,1.25000,0.40000,0.40000,2.23787
0.75000,1.25000,0.40000,0.60000,2.61653
0.75000,1.25000,0.40000,0.80000,2.83609
0.75000,1.25000,0.60000,0.00000,2.30804
0.75000,1.25000,0.60000,0.20000,2.83609
0.75000,1.25000,0.60000,0.40000,2.61653
0.75000,1.25000,0.60000,0.60000,2.23787
0.75000,1.25000,0.60000,0.80000,2.97841
0.75000,1.25000,0.80000,0.00000,2.51298
0.75000,1.25000,0.80000,0.20000,2.49228
0.75000,1.25000,0.80000,0.40000,2.80934
0.75000,1.25000,0.80000,0.60000,2.51397
0.75000,1.25000,0.80000,0.80000,2.88756
0.75000,1.50000,0.00000,0.00000,2.72809
0.75000,1.50000,0.00000,0.20000,2.82604
0.75000,1.50000,0.00000,0.40000,3.02276
0.75000,1.50000,0.00000,0.60000,3.02276
0.75000,1.50000,0.00000,0.80000,2.82604
0.75000,1.50000,0.20000,0.00000,2.76071
0.75000,1.50000,0.20000,0.20000,3.13626
0.75000,1.50000,0.20000,0.40000,2.76201
0.75000,1.50000,0.20000,0.60000,3.05449
0.75000,1.50000,0.20000,0.80000,2.72640
0.75000,1.50000,0.40000,0.00000,2.55794
0.75000,1.50000,0.40000,0.20000,3.22785
0.75000,1.50000,0.40000,0.40000,2.46023
0.75000,1.50000,0.40000,0.60000,2.85037
0.75000,1.50000,0.40000,0.80000,3.07932
0.75000,1.50000,0.60000,0.00000,2.55794
0.75000,1.50000,0.60000,0.20000,3.07932
0.75000,1.50000,0.60000,0.40000,2.85037
0.75000,1.50000,0.60000,0.60000,2.46023
0.75000,1.50000,0.60000,0.80000,3.22785
0.75000,1.50000,0.80000,0.00000,2.76071
0.75000,1.50000,0.80000,0.20000,2.72640
0.75000,1.50000,0.80000,0.40000,3.05449
0.75000,1.50000,0.80000,0.60000,2.76201
